QUESTION_TEXT,OPTION_1,OPTION_2,OPTION_3
"Rose gasped, t _ _ _ _ d from the door, and pressed her gaze upon the ceiling again as if it might crash down on them. [6 Letters T _ _ _ _ _ D]",turned,TURNED,Turned
"""Stick with me, kid."" She stopped at the top curve of the stairs. ""Let's make an entrance. Chins up, eyes bored, stomachs in, fingers t _ _ _ _ _ _ g carelessly along the banisters."" [8 Letters T _ _ _ _ _ G]",trailing,TRAILING,Trailing
"It was just before lunch, and Olive would be packed with people t _ _ _ _ g to shove food in their mouths and rush back to work. [6 Letters T _ _ _ _ _ G]",trying,TRYING,Trying
"I opened my mouth to s _ _  Maeve Reed's name, but stopped myself. My aunt was the Queen of Air and Darkness; anything said in the dark would eventually travel back to her. [3 Letters S _ _ _ ]",say,SAY,Say
"""Because she thinks if she keeps buying it, she'll have to eat it just to G _ _  rid of it. It's like she's trying to trick herself."" [3 Letters G _ _ _ ]",get,GET,Get
"We all trooped up to the house and knocked on the door. Uncle Vito's wife, Aunt Angela, o _ _ _ _ d the door. [6 Letters O _ _ _ _ _ D]",opened,OPENED,Opened
"That even though he had no idea what he was praying about, he wanted to m _ _ _  sure that the Oversoul understood that he was serious. [4 Letters M _ _ _ ]",make,MAKE,Make
"He'd lost his right shoe near the perimeter going in, with no way to retrieve it except by hand, a process about as attractive as bobbing for turds, and likely to a _ _ _ _ _ t the attention of the Black Karens. [7 Letters A _ _ _ _ _ T]",attract,ATTRACT,Attract
"LuAnn held onto the sides of her seat and gritted her teeth as the plane rocked and swayed while it g _ _ _ _ _ _ d speed. She didn't dare look outside the window. Oh Lord, what had she done? [8 Letters G _ _ _ _ _ D]",gathered,GATHERED,Gathered
"The sounds c _ _ _ _ g through the door were faint and muffled. Davos rose and paced his cell. As cells went, it was large and queerly comfortable. He suspected it might once have been some lordling's bedchamber. [6 Letters C _ _ _ _ _ G]",coming,COMING,Coming
"""I brought McNab,"" Peabody told her. ""He and Roarke are taking the electronics. Roarke's already gone over the front entrance. No sign of f _ _ _ _ d entry. According to the expert, whoever brought him in used the proper swipe, the code, the works."" [6 Letters F _ _ _ _ _ D]",forced,FORCED,Forced
"The attorney's admission surprised Junior. This was probably as close as Magusson would ever get to saying, Maybe you didn't k _ _ _  your wife, after all, but he was by nature a nasty prick, so even an implied apology was more than Junior had ever expected to receive. [4 Letters K _ _ _ ]",kill,KILL,Kill
"I've organized a search party, and we're about to h _ _  the streets""-when the phone rang. His father grabbed it, offered his usual gruff ""Woods Boone,"" then began listening. [3 Letters H _ _ _ ]",hit,HIT,Hit
"""They keep each other on their toes. It's fun to w _ _ _ h."" [5 Letters W _ _ _ _ _ H]",watch,WATCH,Watch
"I showed her my badge and t _ _ _  her my name, and she said her name was Marilyn Burns. She was forty, white, and petite and dressed in a blue-checked shirt hanging out over her jeans. [4 Letters T _ _ _ ]",told,TOLD,Told
"I mostly k _ _ _  my eyes closed, feeling ahead of me with my hands, because even in the pitch darkness, as long as my eyes were open, my mind kept wanting to see, and tended to panic when it couldn't. [4 Letters K _ _ _ ]",kept,KEPT,Kept
"""But know that I can t _ _ _  your head before you blink if you so much as think of harming her."" [4 Letters T _ _ _ ]",take,TAKE,Take
"She paused as an enormous wave of relief w _ _ _ _ d over her. ""Only Amy wasn't wearing a hat."" [6 Letters W _ _ _ _ _ D]",washed,WASHED,Washed
"His mother cried, emitting no sounds as she slowly shook her head back and forth, as if not yet able to a _ _ _ _ b what he had done. [6 Letters A _ _ _ _ _ B]",absorb,ABSORB,Absorb
"""Yes. At two. With Amanda. Thanks for-"" lightning f _ _ _ _ d overhead and she cringed, but this time it was more diffuse, and the thunder which followed, while loud, didn't threaten to burst her eardrums. ""-for being so understanding,"" [6 Letters F _ _ _ _ _ D]",flared,FLARED,Flared
